ID	GeneID	geneSymbol	chr	strand	exonStart_0base	exonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE	ID	IC_SAMPLE_1	SC_SAMPLE_1	IC_SAMPLE_2	SC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
34032	"ENSG00000004866.19"	"ST7"	chr7	+	117134123	117134192	117131884	117131960	117136080	117136235	34032	61,76,46	16,29,9	9,10,15	23,22,20	158	89	2.10427231195e-11	1.11177431272e-09	0.682,0.596,0.742	0.181,0.204,0.297	0.446
21992	"ENSG00000168214.20"	"RBPJ"	chr4	+	26430418	26430522	26429897	26430053	26430691	26435128	21992	268,332,107	11,7,9	599,568,946	2,0,0	193	89	2.16976436818e-11	1.14358724437e-09	0.918,0.956,0.846	0.993,1.0,1.0	-0.091
1824	"ENSG00000038427.15"	"VCAN"	chr5	+	83537006	83542268	83512102	83512396	83545536	83545650	1824	9779,8126,2088	2,0,0	4477,7623,16497	2,25,28	5351	89	2.31231700454e-11	1.21576240176e-09	0.988,1.0,1.0	0.974,0.835,0.907	0.091
4110	"ENSG00000175029.16"	"CTBP2"	chr10	-	125088190	125088319	125039045	125039155	125110989	125111093	4110	62,33,20	225,225,104	7,7,13	156,191,196	218	89	2.32296404334e-11	1.21840307765e-09	0.101,0.056,0.073	0.018,0.015,0.026	0.057
12635	"ENSG00000168818.9"	"STX18"	chr4	-	4425163	4425222	4423517	4423587	4434769	4434858	12635	308,320,168	6,0,0	60,76,77	4,12,8	148	89	2.34199326599e-11	1.22541686299e-09	0.969,1.0,1.0	0.9,0.792,0.853	0.141
37900	"ENSG00000148737.16"	"TCF7L2"	chr10	+	113158666	113158717	113158020	113158069	113165554	113167678	37900	65,44,16	37,42,17	18,18,35	76,79,108	140	89	2.35030883644e-11	1.22680457867e-09	0.528,0.4,0.374	0.131,0.127,0.171	0.291
13835	"ENSG00000070610.14"	"GBA2"	chr9	-	35743275	35743326	35741319	35741890	35744296	35744391	13835	26,16,13	45,53,13	0,3,5	64,46,62	140	89	2.49503750993e-11	1.29921881106e-09	0.269,0.161,0.389	0.0,0.04,0.049	0.243
12813	"ENSG00000147383.10"	"NSDHL"	chrX	+	152831633	152831700	152830996	152831117	152846281	152846432	12813	49,61,14	111,122,50	13,5,3	93,66,72	156	89	2.51741960611e-11	1.30773006013e-09	0.201,0.222,0.138	0.074,0.041,0.023	0.141
3181	"ENSG00000168958.19"	"MFF"	chr2	+	227342744	227342819	227340291	227340380	227355676	227355761	3181	62,52,22	281,279,117	17,9,14	203,284,227	164	89	2.61901611509e-11	1.35725184414e-09	0.107,0.092,0.093	0.043,0.017,0.032	0.067
35802	"ENSG00000023228.13"	"NDUFS1"	chr2	-	206152418	206152510	206149817	206149925	206153617	206153682	35802	506,456,158	36,31,22	251,251,315	7,4,0	181	89	2.69304578637e-11	1.3922853896e-09	0.874,0.879,0.779	0.946,0.969,1.0	-0.128
19255	"ENSG00000095787.21"	"WAC"	chr10	+	28595732	28596041	28590719	28590832	28608185	28608433	19255	1039,1056,415	84,90,48	843,1095,1401	34,36,46	398	89	2.75475198208e-11	1.42079612942e-09	0.734,0.724,0.659	0.847,0.872,0.872	-0.158
4293	"ENSG00000183479.12"	"TREX2"	chrX	-	153454876	153455053	153454393	153454508	153455541	153455766	4293	57,62,30	76,120,52	4,3,4	30,43,38	266	89	2.77405876048e-11	1.42735536507e-09	0.201,0.147,0.162	0.043,0.023,0.034	0.137
17731	"ENSG00000170627.10"	"GTSF1"	chr12	-	54465066	54465167	54463170	54463297	54471232	54471277	17731	2982,2882,1036	205,215,57	1161,1225,1305	137,185,189	190	89	2.84156032038e-11	1.45862274076e-09	0.872,0.863,0.895	0.799,0.756,0.764	0.104
31950	"ENSG00000169045.17"	"HNRNPH1"	chr5	-	179621842	179621976	179621241	179621397	179623036	179623164	31950	84,68,34	2469,1950,751	86,99,141	1203,1105,1557	223	89	2.86924928261e-11	1.46935408889e-09	0.013,0.014,0.018	0.028,0.035,0.035	-0.018
8928	"ENSG00000114867.20"	"EIF4G1"	chr3	+	184315488	184315545	184314618	184314674	184315762	184315856	8928	722,764,326	2,1,0	231,183,280	3,5,23	146	89	2.9142466218e-11	1.48887760192e-09	0.995,0.998,1.0	0.979,0.957,0.881	0.059
22211	"ENSG00000111196.9"	"MAGOHB"	chr12	-	10609097	10609383	10607853	10607936	10609830	10609941	22211	74,64,32	629,531,331	12,44,58	72,100,157	375	89	2.99373859036e-11	1.52589094928e-09	0.027,0.028,0.022	0.038,0.095,0.081	-0.046
6091	"ENSG00000178927.17"	"C17orf62"	chr17	-	82447579	82447621	82446622	82446696	82449169	82449292	6091	89,92,51	4,2,3	26,21,51	9,13,17	131	89	3.10417247462e-11	1.57846441655e-09	0.938,0.969,0.92	0.662,0.523,0.671	0.324
8944	"ENSG00000151287.16"	"TEX30"	chr13	-	102767272	102767478	102766109	102766580	102768259	102768311	8944	585,536,264	57,54,34	186,200,202	5,3,4	295	89	3.22528670438e-11	1.63620984989e-09	0.756,0.75,0.701	0.918,0.953,0.938	-0.201
30771	"ENSG00000166881.9"	"NEMP1"	chr12	-	57069233	57069306	57064645	57064739	57070819	57070893	30771	65,68,22	10,9,3	15,10,27	10,14,37	162	89	3.87955223502e-11	1.96352477839e-09	0.781,0.806,0.801	0.452,0.282,0.286	0.456
1751	"ENSG00000149591.16"	"TAGLN"	chr11	+	117199632	117199829	117199381	117199432	117203001	117203193	1751	0,6,0	17,91,65	6,9,8	16,4,5	286	89	3.93856058878e-11	1.98874357749e-09	0.0,0.02,0.0	0.105,0.412,0.332	-0.276
37564	"ENSG00000170632.13"	"ARMC10"	chr7	+	103075776	103075881	103074925	103075411	103083681	103083830	37564	74,82,21	163,140,56	73,100,162	55,85,117	194	89	4.08764133653e-11	2.05922061935e-09	0.172,0.212,0.147	0.378,0.351,0.388	-0.195
27644	"ENSG00000172590.18"	"MRPL52"	chr14	+	22833417	22833489	22830186	22830254	22834171	22834346	27644	487,565,210	81,83,19	219,245,193	8,5,10	161	89	4.3164583019e-11	2.16944593354e-09	0.769,0.79,0.859	0.938,0.964,0.914	-0.133
452	"ENSG00000142227.10"	"EMP3"	chr19	+	48325990	48326053	48325580	48325610	48326829	48326922	452	26,26,16	456,445,203	3,0,6	354,434,557	152	89	4.36798375247e-11	2.19026074181e-09	0.032,0.033,0.044	0.005,0.0,0.006	0.033
31297	"ENSG00000138674.16"	"SEC31A"	chr4	-	82862533	82862572	82861630	82861708	82863317	82863392	31297	165,147,57	2,17,6	18,40,82	5,20,40	128	89	4.38754588217e-11	2.19498888914e-09	0.983,0.857,0.869	0.715,0.582,0.588	0.275
7054	"ENSG00000113163.15"	"COL4A3BP"	chr5	-	75399309	75399387	75389591	75389687	75400204	75400297	7054	27,28,17	133,128,58	0,3,8	82,78,144	167	89	4.4463988047e-11	2.21930624211e-09	0.098,0.104,0.135	0.0,0.02,0.029	0.096
23847	"ENSG00000124496.12"	"TRERF1"	chr6	-	42263259	42263568	42259338	42259723	42264703	42264854	23847	28,27,18	4,9,7	62,49,77	1,0,1	398	89	4.56910065338e-11	2.27530708859e-09	0.61,0.402,0.365	0.933,1.0,0.945	-0.5
3721	"ENSG00000123159.15"	"GIPC1"	chr19	-	14482688	14483006	14480592	14480778	14491655	14491743	3721	1173,1210,471	40,55,15	621,460,624	74,43,57	407	89	4.77590189618e-11	2.37283456135e-09	0.865,0.828,0.873	0.647,0.701,0.705	0.171
24080	"ENSG00000031003.10"	"FAM13B"	chr5	-	138018954	138019146	138018301	138018514	138021030	138021197	24080	90,73,36	4,14,1	5,11,15	6,20,12	281	89	4.85596007849e-11	2.40708941007e-09	0.877,0.623,0.919	0.209,0.148,0.284	0.593
38864	"ENSG00000133315.10"	"MACROD1"	chr11	-	64015251	64015281	64000226	64000343	64151238	64151355	38864	164,142,66	0,3,0	222,159,278	20,25,18	119	89	4.95063989803e-11	2.44841921167e-09	1.0,0.973,1.0	0.892,0.826,0.92	0.112
38861	"ENSG00000115641.18"	"FHL2"	chr2	-	105396646	105396697	105386360	105386540	105398841	105399224	38861	100,126,80	61,57,57	65,64,100	121,125,135	140	89	5.02682340198e-11	2.48043390737e-09	0.51,0.584,0.472	0.255,0.246,0.32	0.248
3149	"ENSG00000182718.16"	"ANXA2"	chr15	-	60390212	60390317	60386027	60386086	60397942	60398001	3149	100,111,56	2104,2123,965	54,28,42	1732,1835,2422	194	89	5.04649655397e-11	2.484482008e-09	0.021,0.023,0.026	0.014,0.007,0.008	0.014
12641	"ENSG00000105976.14"	"MET"	chr7	+	116695749	116695799	116672389	116672577	116699070	116699599	12641	93,69,41	106,137,43	19,30,51	138,124,204	139	89	5.50541834343e-11	2.70427147745e-09	0.36,0.244,0.379	0.081,0.134,0.138	0.21
10019	"ENSG00000072682.18"	"P4HA2"	chr5	-	132226696	132227221	132218544	132218644	132227789	132227815	10019	115,131,41	42,45,16	315,367,402	11,17,48	614	89	5.78158632081e-11	2.83350051768e-09	0.284,0.297,0.271	0.806,0.758,0.548	-0.42
3155	"ENSG00000182718.16"	"ANXA2"	chr15	-	60397257	60397338	60386027	60386086	60397942	60397986	3155	1692,1977,729	2104,2123,965	723,964,1126	1732,1835,2422	170	89	5.96729332614e-11	2.91791214517e-09	0.296,0.328,0.283	0.179,0.216,0.196	0.105
27650	"ENSG00000174227.15"	"PIGG"	chr4	+	530435	530745	527038	527230	533817	533981	27650	360,290,147	1,0,1	98,82,125	10,9,3	399	89	6.06823480354e-11	2.96058788996e-09	0.988,1.0,0.97	0.686,0.67,0.903	0.233
12979	"ENSG00000026508.16"	"CD44"	chr11	+	35196745	35196874	35189834	35190065	35198120	35198246	12979	319,396,167	435,424,261	113,94,164	373,248,369	218	89	6.35722585685e-11	3.09061743512e-09	0.23,0.276,0.207	0.11,0.134,0.154	0.105
1686	"ENSG00000131165.14"	"CHMP1A"	chr16	-	89653903	89653923	89651568	89651646	89657581	89657845	1686	617,737,250	91,87,30	396,396,459	19,12,24	109	89	6.36328767456e-11	3.09061743512e-09	0.847,0.874,0.872	0.944,0.964,0.94	-0.085
25113	"ENSG00000136295.14"	"TTYH3"	chr7	+	2647958	2648054	2647417	2647638	2649566	2649639	25113	114,77,18	2,0,0	91,56,112	13,14,14	185	89	6.44198028255e-11	3.12183840896e-09	0.965,1.0,1.0	0.771,0.658,0.794	0.247
9048	"ENSG00000240344.8"	"PPIL3"	chr2	-	200882341	200882435	200881420	200881488	200885697	200885772	9048	350,331,161	51,52,18	195,202,205	61,95,119	183	89	7.41907646429e-11	3.58732219575e-09	0.769,0.756,0.813	0.609,0.508,0.456	0.255
28692	"ENSG00000136717.14"	"BIN1"	chr2	-	127057472	127057601	127051153	127051243	127059010	127059155	28692	191,159,82	7,9,7	140,152,146	50,30,35	218	89	7.82535147792e-11	3.7753399491e-09	0.918,0.878,0.827	0.533,0.674,0.63	0.262
35647	"ENSG00000072864.13"	"NDE1"	chr16	+	15651930	15652050	15650246	15650294	15664735	15664861	35647	49,40,10	109,70,33	25,17,15	136,142,179	209	89	7.99926791473e-11	3.85066981264e-09	0.161,0.196,0.114	0.073,0.049,0.034	0.105
9881	"ENSG00000275066.4"	"SYNRG"	chr17	-	37577446	37577613	37576340	37576418	37579131	37579434	9881	37,10,1	5,10,5	10,20,32	0,0,0	256	89	8.09362576959e-11	3.88745280312e-09	0.72,0.258,0.065	1.0,1.0,1.0	-0.652
9883	"ENSG00000275066.4"	"SYNRG"	chr17	-	37577379	37577613	37576340	37576418	37579131	37579434	9883	61,19,10	5,10,5	26,50,69	0,0,0	323	89	8.27458102037e-11	3.96557464742e-09	0.771,0.344,0.355	1.0,1.0,1.0	-0.51
17294	"ENSG00000140848.16"	"CPNE2"	chr16	+	57134774	57134826	57127848	57127903	57146084	57146321	17294	81,81,45	1,2,0	77,91,122	15,18,16	141	89	8.94816443164e-11	4.27892136685e-09	0.981,0.962,1.0	0.764,0.761,0.828	0.197
11699	"ENSG00000140988.15"	"RPS2"	chr16	-	1964448	1964628	1964275	1964365	1964806	1964860	11699	15505,15314,7461	115,155,47	13432,14531,17407	117,0,0	269	89	9.34399224661e-11	4.45836035344e-09	0.978,0.97,0.981	0.974,1.0,1.0	-0.015
21769	"ENSG00000110841.13"	"PPFIBP1"	chr12	+	27677063	27677096	27676427	27676599	27679488	27679639	21769	28,29,16	188,158,79	9,3,7	132,138,278	122	89	9.40523214865e-11	4.47771733635e-09	0.098,0.118,0.129	0.047,0.016,0.018	0.088
22542	"ENSG00000100614.17"	"PPM1A"	chr14	+	60250379	60250481	60249440	60249677	60282683	60283537	22542	15,14,5	67,57,25	0,1,4	81,105,88	191	89	9.60235224667e-11	4.56153847297e-09	0.094,0.103,0.085	0.0,0.004,0.021	0.086
10163	"ENSG00000163125.15"	"RPRD2"	chr1	+	150441880	150441958	150440922	150441023	150443230	150443283	10163	117,93,32	41,38,8	21,37,58	30,43,80	167	89	9.80276970708e-11	4.64655574168e-09	0.603,0.566,0.681	0.272,0.314,0.279	0.328
29523	"ENSG00000179912.20"	"R3HDM2"	chr12	-	57305639	57305663	57303175	57303217	57310263	57310463	29523	15,16,2	39,57,16	1,2,5	60,82,158	113	89	9.85914683227e-11	4.66307508036e-09	0.232,0.181,0.09	0.013,0.019,0.024	0.149
14472	"ENSG00000140262.17"	"TCF12"	chr15	+	57252420	57252492	57251349	57251423	57253261	57253468	14472	116,119,50	89,80,34	18,34,68	89,68,119	161	89	1.01299191257e-10	4.77977406061e-09	0.419,0.451,0.448	0.101,0.217,0.24	0.253
33581	"ENSG00000173918.14"	"C1QTNF1"	chr17	+	79043954	79044123	79024069	79024494	79046554	79046694	33581	4,10,6	3,6,3	2,7,20	0,0,0	258	89	1.01500141625e-10	4.77977406061e-09	0.315,0.365,0.408	1.0,1.0,1.0	-0.637
18838	"ENSG00000204580.12"	"DDR1"	chr6	+	30885624	30885680	30882954	30882983	30888687	30888814	18838	78,75,25	64,36,23	33,34,57	78,84,182	145	89	1.03220543224e-10	4.85024600286e-09	0.428,0.561,0.4	0.206,0.199,0.161	0.274
2720	"ENSG00000138814.16"	"PPP3CA"	chr4	-	101063231	101063357	101061086	101061161	101080531	101080626	2720	1283,1097,390	29,27,14	855,1163,1422	7,6,5	215	89	1.05148223462e-10	4.93013163774e-09	0.948,0.944,0.92	0.981,0.988,0.992	-0.05
31028	"ENSG00000119509.12"	"INVS"	chr9	+	100215400	100215488	100126382	100126549	100226061	100226234	31028	22,15,7	9,10,12	0,0,4	17,22,23	177	89	1.05421671392e-10	4.93227698854e-09	0.551,0.43,0.227	0.0,0.0,0.08	0.376
9448	"ENSG00000173209.22"	"AHSA2"	chr2	+	61183546	61183662	61181319	61181405	61184711	61184800	9448	86,87,38	57,65,20	46,49,56	73,94,137	205	89	1.07165831764e-10	5.00307380964e-09	0.396,0.368,0.452	0.215,0.185,0.151	0.222
8700	"ENSG00000131584.18"	"ACAP3"	chr1	-	1294717	1294816	1294401	1294628	1295446	1295554	8700	85,105,32	13,15,4	48,77,66	1,0,0	188	89	1.08769770968e-10	5.06703393271e-09	0.756,0.768,0.791	0.958,1.0,1.0	-0.214
4565	"ENSG00000010270.13"	"STARD3NL"	chr7	+	38179089	38179145	38178350	38178420	38207446	38207729	4565	68,40,13	101,79,27	14,8,10	61,96,70	145	89	1.12328146784e-10	5.22157149278e-09	0.292,0.237,0.228	0.123,0.049,0.081	0.168
29686	"ENSG00000101901.11"	"ALG13"	chrX	+	111744667	111744904	111736713	111736879	111752789	111752830	29686	13,12,4	2,8,1	25,18,37	0,0,0	326	89	1.14525944284e-10	5.31233619931e-09	0.64,0.291,0.522	1.0,1.0,1.0	-0.516
9918	"ENSG00000149100.12"	"EIF3M"	chr11	+	32587011	32587144	32583831	32583929	32589546	32589641	9918	1948,1846,836	132,178,81	929,1201,1355	33,40,57	222	89	1.15210396778e-10	5.33266584403e-09	0.855,0.806,0.805	0.919,0.923,0.905	-0.094
8478	"ENSG00000075711.20"	"DLG1"	chr3	-	197161639	197161738	197149742	197149796	197194424	197194589	8478	105,129,24	100,84,26	36,30,42	65,87,153	188	89	1.154862872e-10	5.33403828001e-09	0.332,0.421,0.304	0.208,0.14,0.115	0.198
11462	"ENSG00000112200.16"	"ZNF451"	chr6	+	57099468	57099568	57099060	57099141	57124733	57124859	11462	8,20,6	60,54,24	0,0,1	51,49,60	189	89	1.2160816798e-10	5.60484283996e-09	0.059,0.149,0.105	0.0,0.0,0.008	0.102
35687	"ENSG00000138668.18"	"HNRNPD"	chr4	-	82356536	82356683	82355303	82355401	82356795	82356895	35687	4646,4515,2055	2063,2296,1174	1698,2260,3440	508,681,914	236	89	1.26812005341e-10	5.83227528598e-09	0.459,0.426,0.398	0.558,0.556,0.587	-0.139
17161	"ENSG00000135541.20"	"AHI1"	chr6	-	135290422	135290525	135283531	135285647	135300499	135300558	17161	98,77,37	3,8,1	47,71,77	17,22,40	192	89	1.32097000005e-10	6.06246867396e-09	0.938,0.817,0.945	0.562,0.599,0.472	0.356
5102	"ENSG00000169715.14"	"MT1E"	chr16	+	56626465	56626531	56625474	56625879	56626879	56627112	5102	6625,6111,3409	77,89,53	3098,4012,8737	113,135,185	155	89	1.45841894117e-10	6.67912708322e-09	0.98,0.975,0.974	0.94,0.945,0.964	0.027
31809	"ENSG00000085274.15"	"MYNN"	chr3	+	169774030	169774097	169773426	169773462	169774264	169774561	31809	43,27,19	65,52,38	13,6,5	52,61,92	156	89	1.57981072668e-10	7.21980167961e-09	0.274,0.229,0.222	0.125,0.053,0.03	0.172
38948	"ENSG00000087460.23"	"GNAS"	chr20	+	58898940	58898985	58895611	58895684	58903527	58903585	38948	407,408,180	1055,971,378	275,280,305	1182,1232,1423	134	89	1.63884239512e-10	7.47381136065e-09	0.204,0.218,0.24	0.134,0.131,0.125	0.091
32717	"ENSG00000148187.17"	"MRRF"	chr9	+	122286038	122286166	122285168	122285287	122291748	122291840	32717	35,29,26	316,392,139	32,51,72	127,164,206	217	89	1.71844205532e-10	7.82035542066e-09	0.043,0.029,0.071	0.094,0.113,0.125	-0.063
14614	"ENSG00000134717.17"	"BTF3L4"	chr1	+	52059834	52059901	52056313	52056379	52064824	52065299	14614	538,603,239	48,45,31	190,275,280	42,76,59	156	89	1.72538205945e-10	7.83547718486e-09	0.865,0.884,0.815	0.721,0.674,0.73	0.146
31296	"ENSG00000138674.16"	"SEC31A"	chr4	-	82862533	82862572	82857688	82857764	82863317	82863392	31296	66,38,19	89,66,24	9,16,31	61,86,141	128	89	1.81803461174e-10	8.23896773212e-09	0.34,0.286,0.355	0.093,0.115,0.133	0.213
25509	"ENSG00000224081.8"	"LINC01057"	chr1	-	94742268	94742414	94732257	94732437	94819955	94820096	25509	2,4,2	0,0,0	8,8,5	3,4,4	235	89	1.86592519213e-10	8.43834478328e-09	1.0,1.0,1.0	0.502,0.431,0.321	0.582
15815	"ENSG00000113649.11"	"TCERG1"	chr5	+	146481149	146481200	146480027	146480094	146482591	146482727	15815	23,18,15	223,184,99	0,2,3	99,143,177	140	89	1.94048777047e-10	8.75725960082e-09	0.062,0.059,0.088	0.0,0.009,0.011	0.063
26953	"ENSG00000163093.11"	"BBS5"	chr2	+	169497626	169497689	169493740	169493836	169499485	169499620	26953	45,39,18	0,0,0	1,13,12	5,3,7	152	89	1.98051908207e-10	8.91933562491e-09	1.0,1.0,1.0	0.105,0.717,0.501	0.559
28540	"ENSG00000185246.17"	"PRPF39"	chr14	+	45096595	45096758	45096197	45096228	45096886	45097005	28540	42,60,11	79,65,49	33,70,65	9,21,32	252	89	2.00447436427e-10	9.0084903898e-09	0.158,0.246,0.073	0.564,0.541,0.418	-0.349
280	"ENSG00000114098.17"	"ARMC8"	chr3	+	138188454	138188530	138187266	138187599	138221925	138221997	280	52,81,16	7,15,4	12,20,21	18,18,23	165	89	2.05038319656e-10	9.19573515608e-09	0.8,0.744,0.683	0.264,0.375,0.33	0.419
25676	"ENSG00000144034.14"	"TPRKB"	chr2	-	73732583	73732700	73732162	73732285	73734428	73734588	25676	146,135,98	592,619,267	106,89,102	168,195,148	206	89	2.05952033205e-10	9.21763004811e-09	0.096,0.086,0.137	0.214,0.165,0.229	-0.096
32593	"ENSG00000087191.12"	"PSMC5"	chr17	+	63830132	63830189	63829851	63829949	63830270	63830501	32593	2404,2681,1307	43,62,22	915,834,903	1,4,1	146	89	2.09282591257e-10	9.34738039548e-09	0.971,0.963,0.973	0.998,0.992,0.998	-0.027
11389	"ENSG00000083093.9"	"PALB2"	chr16	-	23607863	23608012	23603167	23603669	23614003	23614091	11389	122,76,44	12,18,8	21,37,57	0,0,0	238	89	2.15929829572e-10	9.62442791808e-09	0.792,0.612,0.673	1.0,1.0,1.0	-0.308
15931	"ENSG00000105879.11"	"CBLL1"	chr7	+	107752544	107752617	107748879	107749047	107753410	107753511	15931	30,25,5	175,160,64	0,4,2	110,94,120	162	89	2.23566276603e-10	9.9443381597e-09	0.086,0.079,0.041	0.0,0.023,0.009	0.058
3192	"ENSG00000198561.13"	"CTNND1"	chr11	+	57815914	57816001	57815393	57815500	57816296	57819178	3192	24,41,11	410,315,116	7,6,6	202,294,499	176	89	2.3063939647e-10	1.02379315704e-08	0.029,0.062,0.046	0.017,0.01,0.006	0.035
7477	"ENSG00000174720.15"	"LARP7"	chr4	+	112637643	112637787	112637164	112637239	112644667	112644871	7477	45,45,6	226,244,127	0,6,5	103,125,150	233	89	2.44031128638e-10	1.08102296698e-08	0.071,0.066,0.018	0.0,0.018,0.013	0.041
36505	"ENSG00000107372.12"	"ZFAND5"	chr9	-	72363469	72363606	72360627	72360787	72364695	72365197	36505	499,564,239	126,97,44	298,285,359	141,129,157	226	89	2.45102493857e-10	1.08355310652e-08	0.609,0.696,0.681	0.454,0.465,0.474	0.198
18573	"ENSG00000106077.18"	"ABHD11"	chr7	-	73737875	73738142	73737645	73737735	73738327	73738383	18573	27,41,20	149,138,45	33,48,47	33,55,57	356	89	2.48356557542e-10	1.09570259663e-08	0.043,0.069,0.1	0.2,0.179,0.171	-0.113
26134	"ENSG00000101150.17"	"TPD52L2"	chr20	+	63875815	63875875	63873667	63873816	63882718	63882820	26134	1426,1562,639	249,253,124	442,511,605	183,176,176	149	89	2.51427767495e-10	1.10699762184e-08	0.774,0.787,0.755	0.591,0.634,0.672	0.14
10107	"ENSG00000155229.20"	"MMS19"	chr10	-	97459361	97459526	97459222	97459282	97459658	97459741	10107	569,561,171	6,24,10	302,477,608	1,1,1	254	89	2.53102094838e-10	1.11210904227e-08	0.971,0.891,0.857	0.991,0.994,0.995	-0.087
12974	"ENSG00000026508.16"	"CD44"	chr11	+	35198120	35198246	35189899	35190065	35201081	35201195	12974	974,973,552	18,5,10	732,484,666	47,23,22	215	89	2.55058529852e-10	1.11843681653e-08	0.957,0.988,0.958	0.866,0.897,0.926	0.071
34376	"ENSG00000164828.17"	"SUN1"	chr7	+	849922	850033	849519	849603	851383	851482	34376	401,328,119	74,73,29	499,566,924	58,46,60	200	89	2.58398413777e-10	1.13079322005e-08	0.707,0.667,0.646	0.793,0.846,0.873	-0.164
1135	"ENSG00000123352.17"	"SPATS2"	chr12	+	49441729	49441816	49367383	49367587	49460769	49461037	1135	9,20,2	90,72,25	2,2,1	103,147,167	176	89	2.66865418652e-10	1.16549167315e-08	0.048,0.123,0.039	0.01,0.007,0.003	0.063
33257	"ENSG00000127586.16"	"CHTF18"	chr16	+	791850	791948	791160	791370	792223	792367	33257	127,144,50	2,8,1	66,50,62	14,10,21	187	89	2.86131007776e-10	1.24711667816e-08	0.968,0.895,0.96	0.692,0.704,0.584	0.281
18727	"ENSG00000101745.16"	"ANKRD12"	chr18	+	9204475	9204544	9195550	9195698	9208656	9208803	18727	12,7,2	14,9,5	1,0,2	13,20,60	158	89	2.93559621056e-10	1.27692540388e-08	0.326,0.305,0.184	0.042,0.0,0.018	0.252
2127	"ENSG00000221978.11"	"CCNL2"	chr1	-	1388625	1388743	1387953	1388065	1390229	1390371	2127	9,11,2	253,232,143	20,42,46	224,297,240	207	89	2.98680524757e-10	1.29659669885e-08	0.015,0.02,0.006	0.037,0.057,0.076	-0.043
30438	"ENSG00000205981.6"	"DNAJC19"	chr3	-	180986942	180987022	180985409	180985996	180988022	180988096	30438	486,545,229	20,21,15	161,202,235	38,30,28	169	89	3.09667069764e-10	1.34160161305e-08	0.928,0.932,0.889	0.691,0.78,0.815	0.154
27892	"ENSG00000170633.16"	"RNF34"	chr12	+	121402741	121402807	121400128	121400218	121416158	121416377	27892	86,72,32	179,135,55	17,10,4	68,67,89	155	89	3.12744385944e-10	1.35222931903e-08	0.216,0.234,0.25	0.126,0.079,0.025	0.157
12505	"ENSG00000091490.10"	"SEL1L3"	chr4	-	25757687	25757790	25757533	25757606	25758940	25759977	12505	272,276,125	19,17,9	195,233,302	1,4,1	192	89	3.19952841998e-10	1.37789631478e-08	0.869,0.883,0.866	0.989,0.964,0.993	-0.109
18993	"ENSG00000168813.16"	"ZNF507"	chr19	+	32347244	32347338	32345671	32345783	32352828	32354957	18993	97,151,21	7,5,1	18,34,54	7,10,21	183	89	3.19606785482e-10	1.37789631478e-08	0.871,0.936,0.911	0.556,0.623,0.556	0.328
9869	"ENSG00000148498.15"	"PARD3"	chr10	-	34372497	34372536	34360070	34360259	34374873	34375002	9869	91,56,31	94,84,33	28,35,65	110,152,176	128	89	3.2575364628e-10	1.4000943424e-08	0.402,0.317,0.395	0.15,0.138,0.204	0.207
8195	"ENSG00000159592.10"	"GPBP1L1"	chr1	-	45685575	45685620	45660548	45661225	45686411	45686653	8195	156,133,60	18,16,15	98,90,148	55,57,66	134	89	3.26613514012e-10	1.40101028525e-08	0.852,0.847,0.727	0.542,0.512,0.598	0.258
27004	"ENSG00000099622.13"	"CIRBP"	chr19	+	1273493	1273715	1271980	1272051	1274306	1274444	27004	124,101,35	59,42,19	15,14,48	40,41,49	311	89	3.31641381024e-10	1.41976592801e-08	0.376,0.408,0.345	0.097,0.089,0.219	0.241
28546	"ENSG00000166181.12"	"API5"	chr11	+	43326506	43326611	43323429	43323636	43327788	43327878	28546	1369,1312,581	20,25,7	302,346,503	20,22,25	194	89	3.37201044864e-10	1.44071973054e-08	0.969,0.96,0.974	0.874,0.878,0.902	0.083
37901	"ENSG00000148737.16"	"TCF7L2"	chr10	+	113158666	113158717	113158020	113158069	113160618	113160691	37901	45,35,10	95,73,25	11,20,26	102,137,206	140	89	3.52240014934e-10	1.50201244163e-08	0.231,0.234,0.203	0.064,0.085,0.074	0.148
21439	"ENSG00000112759.16"	"SLC29A1"	chr6	+	44225972	44226167	44223613	44223641	44227262	44227342	21439	66,39,38	95,99,37	0,2,3	16,13,38	284	89	3.59752450052e-10	1.53103292201e-08	0.179,0.11,0.243	0.0,0.046,0.024	0.154
20283	"ENSG00000108395.13"	"TRIM37"	chr17	-	59001597	59001741	58999380	58999459	59012327	59012446	20283	261,280,108	35,37,17	75,105,144	33,51,49	233	89	3.61428553752e-10	1.53289040826e-08	0.74,0.743,0.708	0.465,0.44,0.529	0.252
27899	"ENSG00000204650.13"	"CRHR1-IT1"	chr17	+	45640388	45640455	45639436	45639520	45645900	45646232	27899	0,0,0	6,3,2	11,10,17	1,8,7	156	89	3.61604191035e-10	1.53289040826e-08	0.0,0.0,0.0	0.863,0.416,0.581	-0.62
26724	"ENSG00000196636.7"	"SDHAF3"	chr7	+	97136387	97136467	97117722	97117897	97181011	97181487	26724	36,16,9	98,84,46	3,1,5	65,78,84	169	89	3.68116759297e-10	1.55441427678e-08	0.162,0.091,0.093	0.024,0.007,0.03	0.095
